"Параметр
размера
распределения 
Росина- Раммлера. м
"	"Параметр 
ширины 
распределения Росина - Раммлера"	"Диаметр 
представительных 
частиц. м
"	"Скорость
ввода 
завесного 
охлаждения.
м/с"	"Осевая компонента
скорости"	Радиальная компонента скорости	Тангенциальная компонента скорости	Средний диаметр Заутера. м	"Расходный комплекс. 
м/с"	Давление. Па			
0.0000701	11.33189	0.000163	1.947487	3.106326	1.288388	2.237261	0.0000685	1167.793	702494			
0.0000621	9.9	0.000147	1.7	2.85	0.95	2.46	0.0000607	1165.938	701378			
0.0000701	11.33189	0.00013	1.947487	2.593674	1.288388	2.237261	0.0000685	1315.299	791227			
0.0000542	8.468109	0.000163	1.947487	2.593674	1.288388	2.682739	0.0000531	1173.714	706056			
0.0000542	8.468109	0.00013	1.452513	2.593674	1.288388	2.682739	0.0000531	1177.873	708558			
0.000078	7.036218	0.00018	1.205025	3.362652	1.023223	2.905477	0.0000768	1211.661	728883			
0.0000621	9.9	0.000147	1.7	3575	1.2	2.46	0.0000607	1167.994	702615			
0.0000621	9.9	0.000147	1.7	2.85	1.2	2.46	0.0000607	1172.986	705618			
0.0000701	11.33189	0.000163	1.947487	3.106326	1.111612	2.682739	0.0000685	1191.099	716514			
0.0000621	13.95	0.000147	1.7	2.85	1.2	2.46	0.0000607	1168.026	702634			
0.0000621	9.9	0.00024	1.7	2.85	1.2	2.46	0.0000607	1153.635	693977			
0.0000621	9.9	0.000193	1.7	2.85	1.2	2.46	0.0000607	1162.269	699171			
0.0000621	9.9	0.000147	1.7	2.85	0.7	2.46	0.0000607	1176.201	707552			
0.000078	12.76378	0.00018	1.205025	2.337348	1.376777	2.014523	0.0000762	1197.68	720473			
0.0000621	9.9	0.0000998	1.7	2.85	1.2	2.46	0.0000607	1200.865	722389			
0.0000542	11.33189	0.00013	1.947487	2.593674	1.288388	2.682739	0.000053	1233.268	741881			
0.0000542	8.468109	0.000163	1.452513	2.593674	1.288388	2.237261	0.0000531	1201.047	722498			
0.0000542	11.33189	0.000163	1.452513	2.593674	1.288388	2.682739	0.000053	1211.401	728727			
0.0000701	8.468109	0.00013	1.452513	2.593674	1.111612	2.682739	0.0000687	1197.562	720402			
0.0000701	8.468109	0.00013	1.947487	2.593674	1.288388	2.682739	0.0000687	1237.148	744215			
0.0000542	11.33189	0.00013	1.452513	3.106326	1.111612	2.237261	0.000053	1209.485	727574			
0.0000542	8.468109	0.00013	1.947487	2.593674	1.288388	2.237261	0.0000531	1206.363	725696			
0.0000701	8.468109	0.000163	1.452513	2.593674	1.288388	2.682739	0.0000687	1227.289	738284			
0.0000542	8.468109	0.000163	1.947487	3.106326	1.288388	2.237261	0.0000531	1204.945	724843			
0.000078	7.036218	0.00018	1.205025	2.337348	1.376777	2.905477	0.0000768	1224.519	736618			
0.0000701	8.468109	0.000163	1.947487	3.106326	1.288388	2.682739	0.0000687	1251.913	753097			
0.0000701	8.468109	0.000163	1.947487	3.106326	1.111612	2.237261	0.0000687	1207.774	726545			
0.0000701	8.468109	0.000163	1.947487	2.593674	1.288388	2.237261	0.0000687	1241.956	747107			
