"Параметрраспределения 
Росина -Раммлера м"	Параметр Ширины Росина - Раммлера	Осевая компонента 	"Радиальная 
компонента"	Тангенциальная компонента	Расходный комплекс. м/с	Давление. Па
6.15e-05	9.85	2.26	2.26	2.26	1692375	1018060
3.01e-06	9.85	2.26	2.26	2.26	1792981	1078580
3.23e-05	9.85	2.26	2.26	2.26	1664514	1001300
0.00012	9.85	2.26	2.26	2.26	1797386	1081230
9.08e-05	9.85	2.26	2.26	2.26	1797436	1081260
6.15e-05	1.7	2.26	2.26	2.26	1785084	1073830
6.15e-05	5.78	2.26	2.26	2.26	1726603	1038650
6.15e-05	18	2.26	2.26	2.26	1708932	1028020
6.15e-05	13.93	2.26	2.26	2.26	1699723	1022480
6.15e-05	9.85	1.12	2.26	2.26	1695184	1019750
6.15e-05	9.85	1.69	2.26	2.26	1780048	1070800
6.15e-05	9.85	3.4	2.26	2.26	1598249	961438
6.15e-05	9.85	2.83	2.26	2.26	1668304	1003580
6.15e-05	9.85	2.26	1.12	2.26	1673906	1006950
6.15e-05	9.85	2.26	1.69	2.26	1679176	1010120
6.15e-05	9.85	2.26	3.4	2.26	1758071	1057580
6.15e-05	9.85	2.26	2.83	2.26	1753749	1054980
6.15e-05	9.85	2.26	2.26	1.12	1680606	1010980
6.15e-05	9.85	2.26	2.26	1.69	1619943	974488
6.15e-05	9.85	2.26	2.26	3.4	1739902	1046650
6.15e-05	9.85	2.26	2.26	2.83	1770738	1065200
3.23e-05	5775	1.69	1.69	2.83	1779299	1070350
4.69e-05	7.8125	1975	1975	2545	1749876	1052650
9.08e-05	5775	1.69	1.69	1.69	1817633	1093410
7.61e-05	7.8125	1975	1975	1975	1769558	1064490
3.23e-05	13925	1.69	1.69	1.69	1665811	1002080
4.69e-05	11.8875	1975	1975	1975	1713088	1030520
9.08e-05	13925	1.69	1.69	2.83	1794643	1079580
7.61e-05	11.8875	1975	1975	2545	1781959	1071950
3.23e-05	5775	2.83	1.69	1.69	1611636	969491
4.69e-05	7.8125	2545	1975	1975	1683365	1012640
7.61e-05	7.8125	2545	1975	2545	1738672	1045910
3.23e-05	13925	2.83	1.69	2.83	1721749	1035730
4.69e-05	11.8875	2545	1975	2545	1682.7	1012240
7.61e-05	11.8875	2545	1975	1975	1683382	1012650
4.69e-05	7.8125	1975	2545	1975	1718075	1033520
7.61e-05	7.8125	1975	2545	2545	1786231	1074520
4.69e-05	11.8875	1975	2545	2545	1778435	1069830
3.23e-05	5775	2.83	2.83	2.83	1728714	1039920
4.69e-05	7.8125	2545	2545	2545	1763906	1061090
9.08e-05	5775	2.83	2.83	1.69	1703579	1024800
7.61e-05	7.8125	2545	2545	1975	1705.89	1026190
3.23e-05	13925	2.83	2.83	1.69	1611241	969253
4.69e-05	11.8875	2545	2545	1975	1679641	1010400
